Ticker,Avg_Daily_Return,Beta,Annual_Volatility,Cluster_Agglom,Label_Agglom,Cluster_KMeans,Label_KMeans
BAX,-0.0007810629404979646,0.5312074100884017,0.2760719980556201,1,Defensive / Low-Risk,1,Defensive / Low-Risk
BBY,0.000804119028579149,0.832991213592889,0.30414512183135245,1,Defensive / Low-Risk,0,Aggressive Growth
BDX,-0.0001167679348712452,0.39286049501326914,0.19052929635734933,1,Defensive / Low-Risk,1,Defensive / Low-Risk
BEN,-0.00012881761909759736,1.10044646834563,0.28717795757099984,1,Defensive / Low-Risk,1,Defensive / Low-Risk
BG,-0.00010796700443628415,0.3460940433892231,0.23553676547721192,1,Defensive / Low-Risk,1,Defensive / Low-Risk
BIIB,-0.001607969518740934,0.6412940893326833,0.2376331510918269,1,Defensive / Low-Risk,1,Defensive / Low-Risk
BK,0.0017508825285181642,0.7695975557750593,0.19322490723614308,1,Defensive / Low-Risk,1,Defensive / Low-Risk
BKNG,0.0017066519903974461,1.0962953785566656,0.259784295276952,0,Aggressive Growth,0,Aggressive Growth
BKR,0.0012197970515265889,0.7082700698221043,0.2583497557645775,1,Defensive / Low-Risk,1,Defensive / Low-Risk
BLDR,0.0010756626819357468,1.7113598376763122,0.4319159034822519,0,Aggressive Growth,0,Aggressive Growth
BLK,0.001342516355581425,1.002847190168272,0.19244839764681265,1,Defensive / Low-Risk,1,Defensive / Low-Risk
BMY,-0.0001085163913783578,0.2729618219813321,0.2551329375520683,1,Defensive / Low-Risk,1,Defensive / Low-Risk
BR,0.001067927661536821,0.699115215464126,0.17800130101978323,1,Defensive / Low-Risk,1,Defensive / Low-Risk
BRO,0.001207859918509103,0.5731392895870743,0.18291921449549314,1,Defensive / Low-Risk,1,Defensive / Low-Risk
BSX,0.0013698787320803086,0.5084724153413085,0.18682981420924685,1,Defensive / Low-Risk,1,Defensive / Low-Risk
BX,0.002098796405826523,1.4926727327564742,0.29885225256197445,0,Aggressive Growth,0,Aggressive Growth
BXP,0.0014354755880075028,1.3459315990766019,0.36465557035155416,0,Aggressive Growth,0,Aggressive Growth
C,0.0013460271928220332,1.0717729799402536,0.24746857868924865,0,Aggressive Growth,0,Aggressive Growth
CAG,-0.00047457115623134445,0.1474777296100985,0.2086512080268958,1,Defensive / Low-Risk,1,Defensive / Low-Risk
CAH,0.0010749108880811285,0.2255255985027267,0.21202577854423046,1,Defensive / Low-Risk,1,Defensive / Low-Risk
CARR,0.0014318348187387915,1.2932225926762755,0.2835509211977352,0,Aggressive Growth,0,Aggressive Growth
CASY,0.0013820157786585009,0.676725807846758,0.26729000584508683,1,Defensive / Low-Risk,1,Defensive / Low-Risk
CAT,0.0015134692224501132,1.2460362678982635,0.2703460675780798,0,Aggressive Growth,0,Aggressive Growth
CB,0.0009546571052908207,0.29273881441924987,0.1781018836225297,1,Defensive / Low-Risk,1,Defensive / Low-Risk
CBOE,0.0009822707793931682,-0.2532260858127357,0.19857551924736913,1,Defensive / Low-Risk,1,Defensive / Low-Risk
CBRE,0.001531123867725144,0.9977648266234503,0.27117127266632135,0,Aggressive Growth,0,Aggressive Growth
CCI,-0.0002602494702917324,0.40717786216729834,0.24097287015334992,1,Defensive / Low-Risk,1,Defensive / Low-Risk
CCL,0.0027493969244104977,1.8350305136844725,0.4555479241093687,0,Aggressive Growth,0,Aggressive Growth
CDNS,0.0011205973022828004,1.7022433390503826,0.3224055895286006,0,Aggressive Growth,0,Aggressive Growth
CDW,0.0003130579968924183,0.9449753335784654,0.24276846618632594,1,Defensive / Low-Risk,1,Defensive / Low-Risk
CEG,0.002922658802863046,1.3392718579989362,0.4403036824662247,0,Aggressive Growth,0,Aggressive Growth
CF,0.0007294104332406966,0.43690688577804904,0.2827790764061683,1,Defensive / Low-Risk,1,Defensive / Low-Risk
CFG,0.0017724554476549147,1.2907827732815134,0.3457707288203015,0,Aggressive Growth,0,Aggressive Growth
CHD,0.00027238606744320787,0.08693568733091527,0.1707525837478483,1,Defensive / Low-Risk,1,Defensive / Low-Risk
CHRW,0.00028656238665759345,0.4534563511921887,0.2847720339167927,1,Defensive / Low-Risk,1,Defensive / Low-Risk
CHTR,0.0002293043138510826,0.8904146351888216,0.3692179084336279,1,Defensive / Low-Risk,0,Aggressive Growth
CI,0.0005245718465160675,0.27735313877375006,0.2800995206053311,1,Defensive / Low-Risk,1,Defensive / Low-Risk
CIEN,0.0018852618279209395,1.3491867348003257,0.39089382500344694,0,Aggressive Growth,0,Aggressive Growth
CINF,0.0009800346068471234,0.5858148310779084,0.21458603823216532,1,Defensive / Low-Risk,1,Defensive / Low-Risk
CL,0.0004113438696429109,0.11482936819815638,0.15068654354309774,1,Defensive / Low-Risk,1,Defensive / Low-Risk
CLX,8.89321579135967e-05,0.26139746014229237,0.21744366657572184,1,Defensive / Low-Risk,1,Defensive / Low-Risk
CMCSA,4.3691421786207556e-05,0.626380328133818,0.23045009379225856,1,Defensive / Low-Risk,1,Defensive / Low-Risk
CME,0.0008225221169236868,0.07311482274641115,0.16615344508820448,1,Defensive / Low-Risk,1,Defensive / Low-Risk
CMG,0.001088599164288416,0.8374011580318912,0.2682178951072428,1,Defensive / Low-Risk,0,Aggressive Growth
CMI,0.0013083511552780727,0.8135836999977787,0.23739509975096515,1,Defensive / Low-Risk,1,Defensive / Low-Risk
CMS,0.000381693371477333,0.16913988703154836,0.17543077828751882,1,Defensive / Low-Risk,1,Defensive / Low-Risk
CNC,-8.716535228722726e-05,0.299075334178514,0.28506867534635244,1,Defensive / Low-Risk,1,Defensive / Low-Risk
CNP,0.0003129242752601411,0.34929523963469616,0.196164139565097,1,Defensive / Low-Risk,1,Defensive / Low-Risk
COF,0.0020115070945986653,1.119273357431435,0.2945340370660551,0,Aggressive Growth,0,Aggressive Growth
COHR,0.003406850439112509,2.6068200009889133,0.6123543680327979,0,Aggressive Growth,0,Aggressive Growth
COIN,0.0051945187485517175,3.034622601128019,0.8259959428684291,0,Aggressive Growth,0,Aggressive Growth
COO,3.4391447143234064e-05,0.6349932029639128,0.2359700238764686,1,Defensive / Low-Risk,1,Defensive / Low-Risk
COP,0.0002771098679827854,0.35274848033342404,0.2310944658628595,1,Defensive / Low-Risk,1,Defensive / Low-Risk
COR,0.0008133006882898172,0.09889522547894218,0.16696583272832224,1,Defensive / Low-Risk,1,Defensive / Low-Risk
